date-time,atmospheric pressure (mBar),wind speed (m/s),wind direction (degrees),surface temperature (C),relative humidity (%)
2006/06/01 00:01,1026,3.188,263.9,9.7,77.1
2006/06/01 00:02,1026,3.229,267.6,9.69,77.2
2006/06/01 00:03,1026,3.833,265.2,9.7,77.2
2006/06/01 00:04,1026,3.104,261.6,9.71,77.4
2006/06/01 00:05,1026,3.188,244.3,9.7,77.5
2006/06/01 00:06,1026,3.146,256.7,9.7,77.6
2006/06/01 00:07,1026,3.604,259.3,9.67,77.7
2006/06/01 00:08,1026,4.792,250.1,9.61,77.6
2006/06/01 00:09,1026,3.854,258.3,9.57,77.7
2006/06/01 00:10,1026,2.688,265.7,9.57,77.8
2006/06/01 00:11,1026,2.854,251.0,9.57,77.7
2006/06/01 00:12,1026,3.729,278.5,9.59,77.8
2006/06/01 00:13,1026,3.813,248.5,9.61,77.8
2006/06/01 00:14,1026,4.167,262.1,9.61,77.8
2006/06/01 00:15,1026,3.792,251.0,9.62,77.8
2006/06/01 00:16,1026,2.917,266.9,9.63,78.0
2006/06/01 00:17,1026,3.167,260.6,9.63,78.1
2006/06/01 00:18,1026,4.313,261.3,9.58,78.1
2006/06/01 00:19,1026,5.083,259.9,9.52,78.1
2006/06/01 00:20,1026,3.938,254.3,9.58,78.1
2006/06/01 00:21,1026,3.667,262.9,9.58,78.1
2006/06/01 00:22,1026,3.104,261.3,9.57,78.2
2006/06/01 00:23,1026,4.333,264.9,9.55,78.2
2006/06/01 00:24,1026,3.375,258.3,9.55,78.3
2006/06/01 00:25,1026,3.792,256.5,9.54,78.4
2006/06/01 00:26,1026,3.354,269.9,9.51,78.5
2006/06/01 00:27,1026,4.208,269.2,9.5,78.8
2006/06/01 00:28,1026,4.0,259.9,9.53,79.0
2006/06/01 00:29,1026,2.792,278.6,9.54,79.2
2006/06/01 00:30,1026,2.667,272.6,9.54,79.4
2006/06/01 00:31,1026,2.729,265.4,9.53,79.6
2006/06/01 00:32,1026,4.458,260.5,9.47,79.8
2006/06/01 00:33,1026,4.021,259.2,9.42,80.0
2006/06/01 00:34,1026,4.083,260.0,9.45,80.1
2006/06/01 00:35,1026,3.354,264.2,9.44,80.4
2006/06/01 00:36,1026,3.958,265.3,9.4,80.6
2006/06/01 00:37,1026,4.021,262.3,9.38,80.7
2006/06/01 00:38,1026,3.667,260.3,9.36,80.8
2006/06/01 00:39,1026,2.688,263.3,9.36,81.0
2006/06/01 00:40,1026,2.354,262.9,9.36,81.2
2006/06/01 00:41,1026,2.521,269.6,9.36,81.3
2006/06/01 00:42,1026,3.333,272.9,9.38,81.4
2006/06/01 00:43,1026,3.667,268.3,9.37,81.6
2006/06/01 00:44,1026,2.979,254.2,9.35,81.7
2006/06/01 00:45,1026,2.292,260.4,9.33,81.9
2006/06/01 00:46,1026,2.396,272.1,9.32,82.0
2006/06/01 00:47,1026,3.125,269.8,9.29,82.2
2006/06/01 00:48,1026,3.813,264.2,9.28,82.2
2006/06/01 00:49,1026,4.25,266.4,9.28,82.2
2006/06/01 00:50,1026,2.833,274.5,9.28,82.3
2006/06/01 00:51,1026,3.063,273.3,9.28,82.5
2006/06/01 00:52,1026,2.625,262.4,9.28,82.6
2006/06/01 00:53,1026,4.021,247.4,9.28,82.6
2006/06/01 00:54,1026,2.521,275.4,9.28,82.7
2006/06/01 00:55,1026,2.667,278.5,9.3,82.9
2006/06/01 00:56,1026,2.563,268.8,9.29,83.0
2006/06/01 00:57,1026,3.188,275.8,9.3,83.1
2006/06/01 00:58,1026,3.125,270.8,9.29,83.2
2006/06/01 00:59,1026,3.0,260.2,9.29,83.4
2006/06/01 01:00,1026,4.167,254.4,9.29,83.5
2006/06/01 01:01,1026,4.083,266.0,9.29,83.6
2006/06/01 01:02,1026,3.563,263.5,9.29,83.6
2006/06/01 01:03,1026,3.708,269.6,9.27,83.7
2006/06/01 01:04,1026,3.542,268.9,9.27,83.9
2006/06/01 01:05,1026,4.083,262.0,9.25,84.0
2006/06/01 01:06,1026,2.521,260.4,9.23,84.2
2006/06/01 01:07,1026,3.396,268.6,9.23,84.3
2006/06/01 01:08,1026,3.854,262.4,9.21,84.4
2006/06/01 01:09,1026,3.438,258.3,9.21,84.5
2006/06/01 01:10,1026,2.771,253.9,9.22,84.7
2006/06/01 01:11,1026,2.938,262.9,9.21,85.0
2006/06/01 01:12,1026,3.833,260.3,9.19,85.1
2006/06/01 01:13,1026,3.667,259.6,9.19,85.2
2006/06/01 01:14,1026,4.313,269.0,9.16,85.3
2006/06/01 01:15,1026,2.979,258.9,9.16,85.5
2006/06/01 01:16,1026,3.125,256.6,9.15,85.7
2006/06/01 01:17,1026,3.688,259.6,9.14,85.9
2006/06/01 01:18,1026,3.604,264.4,9.13,85.9
2006/06/01 01:19,1026,3.521,274.1,9.14,85.9
2006/06/01 01:20,1026,3.146,260.5,9.14,85.9
2006/06/01 01:21,1026,3.771,258.3,9.14,86.0
2006/06/01 01:22,1026,3.458,281.8,9.14,86.0
2006/06/01 01:23,1026,2.146,265.1,9.14,86.2
2006/06/01 01:24,1026,2.5,306.4,9.13,86.2
2006/06/01 01:25,1026,3.021,284.3,9.11,86.3
2006/06/01 01:26,1026,3.146,270.3,9.09,86.3
2006/06/01 01:27,1026,3.5,277.0,9.09,86.3
2006/06/01 01:28,1026,3.917,269.0,9.09,86.3
2006/06/01 01:29,1026,3.396,276.7,9.08,86.3
2006/06/01 01:30,1026,3.188,266.2,9.09,86.3
2006/06/01 01:31,1026,3.792,255.8,9.08,86.4
2006/06/01 01:32,1026,2.354,272.5,9.09,86.5
2006/06/01 01:33,1026,4.063,261.5,9.07,86.5
2006/06/01 01:34,1026,3.75,254.1,9.06,86.6
2006/06/01 01:35,1026,3.708,271.3,9.06,86.6
2006/06/01 01:36,1026,2.958,266.6,9.05,86.7
2006/06/01 01:37,1026,3.667,264.2,9.05,86.8
2006/06/01 01:38,1026,3.083,263.9,9.05,86.9
2006/06/01 01:39,1026,2.896,263.7,9.05,87.0
2006/06/01 01:40,1026,2.938,266.1,9.05,87.2
